worker_id,zone,lat,lon,onboard_date,avg_daily_income,disruption_freq_12mo,zone_flood_risk,claims_history_penalty,iss_score,recommended_tier,weekly_premium,bandh_freq_zone,platform_outage_per_mo,coastal_zone,curfew_addon,app_downtime_addon,cyclone_addon,city
CHE_00030,Perambur,13.11377,80.225281,2024-05-01,603.8,21,0.247,4,34,Full Shield,83,11,1,0,1,0,0,Chennai
CHE_00031,Perambur,13.117952,80.242126,2017-02-01,498.3,22,0.527,4,23,Full Shield,89,6,0,0,1,0,0,Chennai
CHE_00032,Chromepet,12.943846,80.148365,2020-01-01,722.7,10,0.51,3,43,Standard Shield,55,7,1,0,1,0,0,Chennai
CHE_00033,Adyar,13.006205,80.248588,2023-01-01,459.6,17,0.141,2,42,Standard Shield,49,9,2,0,1,0,0,Chennai
CHE_00034,Porur,13.038869,80.168348,2016-03-01,230.1,18,0.503,4,20,Full Shield,85,7,1,1,1,0,1,Chennai
CHE_00035,Tambaram,12.914017,80.137623,2022-06-01,472.3,20,0.294,7,20,Full Shield,83,7,0,0,1,0,0,Chennai
CHE_00036,Adyar,13.013168,80.259814,2021-06-01,469.9,28,0.54,3,36,Full Shield,89,4,0,0,1,0,0,Chennai
CHE_00037,Tambaram,12.925923,80.121376,2018-11-01,710.8,22,0.215,2,59,Standard Shield,53,5,2,0,1,0,0,Chennai
CHE_00038,Tambaram,12.907609,80.122917,2020-07-01,463.6,23,0.229,3,30,Full Shield,83,6,4,0,1,1,0,Chennai
CHE_00039,Chromepet,12.951087,80.149047,2024-04-01,509.2,23,0.576,1,19,Full Shield,89,7,5,1,1,1,1,Chennai
CHE_00040,Sholinganallur,12.903812,80.214781,2018-08-01,599.3,20,0.219,1,54,Standard Shield,53,4,0,0,1,0,0,Chennai
CHE_00041,Anna Nagar,13.094728,80.223378,2022-04-01,498.6,19,0.498,5,27,Full Shield,89,1,3,0,0,0,0,Chennai
CHE_00042,T Nagar,13.038425,80.250702,2015-12-01,710.9,22,0.594,2,33,Full Shield,89,12,1,1,1,0,1,Chennai
CHE_00043,T Nagar,13.050079,80.23134,2022-09-01,752.9,17,0.299,1,51,Standard Shield,49,7,3,0,1,0,0,Chennai
CHE_00044,Guindy,13.012471,80.224061,2018-08-01,544.7,22,0.309,5,39,Standard Shield,53,4,1,1,1,0,1,Chennai
CHE_00045,Adyar,12.988049,80.268358,2024-04-01,800.7,17,0.442,0,51,Standard Shield,49,7,1,0,1,0,0,Chennai
CHE_00046,Velachery,12.961748,80.240756,2024-01-01,638.7,25,0.07,2,42,Standard Shield,53,2,3,0,1,0,0,Chennai
CHE_00047,Perambur,13.130126,80.24817,2021-01-01,692.8,27,0.34,4,38,Standard Shield,53,7,1,0,1,0,0,Chennai
CHE_00048,Tambaram,12.93686,80.110145,2018-10-01,646.2,29,0.487,1,42,Standard Shield,59,11,2,0,1,0,0,Chennai
CHE_00049,Sholinganallur,12.904229,80.224744,2023-04-01,777.1,16,0.455,4,36,Full Shield,85,3,3,0,0,1,0,Chennai
CHE_00050,T Nagar,13.056757,80.238707,2024-12-01,703.3,20,0.271,1,44,Standard Shield,53,5,1,0,1,0,0,Chennai
CHE_00051,T Nagar,13.052366,80.228758,2024-12-01,597.1,8,0.295,4,38,Standard Shield,49,7,0,0,1,0,0,Chennai
CHE_00052,Anna Nagar,13.091836,80.227928,2024-12-01,706.6,22,0.14,0,54,Standard Shield,53,5,4,0,1,1,0,Chennai
CHE_00053,Guindy,13.001487,80.236794,2019-07-01,802.1,16,0.142,3,54,Standard Shield,49,4,2,0,1,0,0,Chennai
CHE_00054,Perambur,13.136214,80.224441,2016-11-01,826.7,25,0.246,6,50,Standard Shield,53,7,0,0,1,0,0,Chennai
CHE_00055,Perambur,13.124263,80.230976,2016-08-01,585.7,11,0.228,2,43,Standard Shield,49,7,2,0,1,1,0,Chennai
CHE_00056,Adyar,12.997342,80.249004,2021-02-01,539.8,20,0.24,6,29,Full Shield,83,5,2,1,1,0,1,Chennai
CHE_00057,Porur,13.028617,80.156749,2015-10-01,459.8,17,0.364,0,38,Standard Shield,49,6,2,1,1,0,1,Chennai
CHE_00058,Anna Nagar,13.087568,80.207846,2023-04-01,573.9,13,0.662,1,31,Full Shield,85,3,3,1,0,0,0,Chennai
CHE_00059,T Nagar,13.025089,80.243243,2019-02-01,428.9,15,0.194,3,32,Full Shield,79,12,3,0,1,1,0,Chennai
CHE_00060,Sholinganallur,12.907997,80.219015,2016-01-01,618.9,22,0.461,1,35,Full Shield,89,9,5,0,1,1,0,Chennai
CHE_00061,Velachery,12.966364,80.195033,2024-08-01,752.9,11,0.257,1,46,Standard Shield,49,3,4,1,0,1,1,Chennai
CHE_00062,T Nagar,13.045506,80.217655,2019-01-01,646.9,19,0.273,1,46,Standard Shield,53,8,2,0,1,0,0,Chennai
CHE_00063,Guindy,13.005384,80.210217,2018-05-01,779.0,10,0.158,6,44,Standard Shield,49,5,2,0,1,0,0,Chennai
CHE_00064,Velachery,12.973256,80.214643,2015-01-01,487.1,17,0.57,2,22,Full Shield,85,7,3,1,1,1,1,Chennai
CHE_00065,Perambur,13.111331,80.234472,2021-05-01,607.7,15,0.35,5,37,Full Shield,79,5,0,1,1,0,1,Chennai
CHE_00066,Guindy,13.008988,80.209702,2022-04-01,507.0,10,0.188,4,30,Full Shield,79,9,2,1,1,0,1,Chennai
CHE_00067,Velachery,12.994794,80.209089,2016-07-01,688.4,18,0.201,4,43,Standard Shield,49,8,4,0,1,1,0,Chennai
CHE_00068,Guindy,13.024451,80.211206,2015-03-01,638.0,25,0.131,3,41,Standard Shield,53,10,2,0,1,0,0,Chennai
CHE_00069,Adyar,13.004745,80.245343,2017-04-01,628.2,21,0.245,5,38,Standard Shield,53,9,4,0,1,1,0,Chennai
CHE_00070,Perambur,13.118647,80.227055,2019-08-01,553.1,24,0.293,6,27,Full Shield,83,9,4,0,1,1,0,Chennai
CHE_00071,T Nagar,13.050242,80.227727,2019-04-01,681.5,21,0.182,1,46,Standard Shield,53,8,2,1,1,1,1,Chennai
CHE_00072,Anna Nagar,13.0963,80.216991,2016-04-01,724.8,18,0.132,2,60,Standard Shield,49,3,1,1,0,0,1,Chennai
CHE_00073,Perambur,13.110602,80.222705,2015-10-01,540.3,28,0.159,3,36,Full Shield,83,5,1,1,1,0,1,Chennai
CHE_00074,Anna Nagar,13.084226,80.206524,2023-01-01,776.8,12,0.113,4,49,Standard Shield,49,8,0,1,1,0,1,Chennai
CHE_00075,Sholinganallur,12.88278,80.22245,2015-10-01,623.1,15,0.442,2,46,Standard Shield,49,4,3,0,0,0,0,Chennai
CHE_00076,Perambur,13.130131,80.240689,2024-12-01,539.8,27,0.405,3,24,Full Shield,83,8,2,0,1,1,0,Chennai
CHE_00077,Guindy,13.03125,80.218957,2019-02-01,608.7,21,0.26,2,44,Standard Shield,53,4,4,0,0,1,0,Chennai
CHE_00078,Chromepet,12.952401,80.156707,2018-09-01,442.0,29,0.22,4,38,Standard Shield,53,3,3,0,0,0,0,Chennai
CHE_00079,Porur,13.01405,80.147176,2019-05-01,747.1,14,0.598,3,28,Full Shield,85,11,2,1,1,0,0,Chennai
CHE_00080,Sholinganallur,12.907089,80.227406,2019-08-01,471.0,11,0.386,2,40,Standard Shield,49,3,1,1,0,0,1,Chennai
CHE_00081,Velachery,12.966859,80.215441,2018-01-01,572.2,14,0.078,1,47,Standard Shield,49,6,1,0,1,0,0,Chennai
CHE_00082,Perambur,13.112267,80.22034,2016-03-01,677.8,17,0.356,3,43,Standard Shield,49,5,0,0,0,0,0,Chennai
CHE_00083,Anna Nagar,13.091266,80.209425,2017-09-01,620.3,11,0.322,5,40,Standard Shield,49,4,0,1,0,0,1,Chennai
CHE_00084,Tambaram,12.927446,80.144829,2015-06-01,711.0,10,0.467,2,45,Standard Shield,55,5,2,0,1,0,0,Chennai
CHE_00085,Sholinganallur,12.896119,80.219371,2021-12-01,656.8,19,0.633,2,34,Full Shield,89,2,0,1,0,0,0,Chennai
CHE_00086,T Nagar,13.035304,80.232425,2024-10-01,829.9,24,0.323,4,40,Standard Shield,53,5,1,1,1,0,1,Chennai
CHE_00087,Adyar,13.002458,80.243378,2020-05-01,535.2,20,0.218,5,30,Full Shield,83,10,3,0,1,0,0,Chennai
CHE_00088,Guindy,13.006505,80.205908,2020-09-01,493.5,15,0.195,0,47,Standard Shield,49,4,0,0,0,0,0,Chennai
CHE_00089,T Nagar,13.030708,80.225827,2016-06-01,550.4,15,0.259,7,27,Full Shield,79,7,3,0,1,1,0,Chennai
CHE_00090,Tambaram,12.921574,80.123,2016-02-01,532.4,19,0.198,4,39,Standard Shield,53,8,1,0,1,0,0,Chennai
CHE_00091,Perambur,13.122296,80.228544,2015-08-01,675.2,22,0.507,0,49,Standard Shield,59,4,3,0,0,0,0,Chennai
CHE_00092,Tambaram,12.923119,80.12524,2021-06-01,484.0,18,0.308,4,31,Full Shield,79,3,1,0,0,0,0,Chennai
CHE_00093,Tambaram,12.910765,80.111017,2022-10-01,489.4,21,0.166,5,35,Full Shield,83,6,1,0,1,0,0,Chennai
CHE_00094,Guindy,13.020491,80.214241,2023-10-01,434.6,19,0.383,1,40,Standard Shield,53,9,0,0,1,0,0,Chennai
CHE_00095,Tambaram,12.897512,80.132518,2023-02-01,433.8,14,0.163,4,36,Full Shield,79,3,0,0,1,0,0,Chennai
CHE_00096,Chromepet,12.947136,80.132618,2016-03-01,568.3,14,0.592,4,32,Full Shield,85,5,2,1,1,0,0,Chennai
CHE_00097,Chromepet,12.945398,80.142649,2019-09-01,646.4,14,0.134,3,53,Standard Shield,49,2,1,0,0,0,0,Chennai
CHE_00098,Sholinganallur,12.902482,80.230828,2023-02-01,634.0,13,0.43,4,32,Full Shield,79,6,0,1,1,0,1,Chennai
CHE_00099,Sholinganallur,12.906617,80.220077,2018-01-01,499.0,12,0.348,2,37,Full Shield,79,9,2,0,1,0,0,Chennai
CHE_00100,Anna Nagar,13.096268,80.213515,2024-09-01,548.2,25,0.388,4,19,Full Shield,83,7,6,0,1,1,0,Chennai
CHE_00101,Tambaram,12.917776,80.112289,2018-05-01,656.9,19,0.548,3,42,Standard Shield,59,2,0,0,0,0,0,Chennai
CHE_00102,Anna Nagar,13.090866,80.218984,2020-02-01,847.6,22,0.215,4,51,Standard Shield,53,9,1,0,1,0,0,Chennai
CHE_00103,Tambaram,12.926858,80.131158,2021-02-01,403.9,19,0.383,3,21,Full Shield,83,5,4,0,1,1,0,Chennai
CHE_00104,Adyar,12.984085,80.257057,2023-03-01,541.5,9,0.569,4,25,Full Shield,85,5,2,1,0,0,0,Chennai
CHE_00105,T Nagar,13.060805,80.244948,2020-04-01,423.7,19,0.31,3,28,Full Shield,83,10,1,0,1,0,0,Chennai
CHE_00106,T Nagar,13.027412,80.230407,2016-11-01,566.9,13,0.175,6,42,Standard Shield,49,4,3,0,0,0,0,Chennai
CHE_00107,T Nagar,13.045995,80.227521,2024-10-01,643.6,18,0.198,3,43,Standard Shield,49,4,4,0,0,1,0,Chennai
CHE_00108,Sholinganallur,12.9049,80.241625,2021-12-01,664.3,17,0.425,3,43,Standard Shield,49,7,2,1,1,0,1,Chennai
CHE_00109,Perambur,13.121656,80.251008,2019-04-01,503.9,14,0.252,3,31,Full Shield,79,9,2,0,1,0,0,Chennai
CHE_00110,T Nagar,13.036854,80.226766,2021-07-01,644.8,13,0.552,2,36,Full Shield,85,5,2,1,0,1,0,Chennai
CHE_00111,Chromepet,12.959873,80.145063,2018-09-01,561.9,25,0.297,7,29,Full Shield,83,6,2,0,1,0,0,Chennai
CHE_00112,T Nagar,13.026196,80.24415,2021-01-01,422.7,18,0.612,2,18,Full Shield,85,6,1,1,1,0,0,Chennai
CHE_00113,Porur,13.034642,80.157919,2015-12-01,572.2,21,0.206,3,45,Standard Shield,53,11,1,0,1,0,0,Chennai
CHE_00114,Perambur,13.113261,80.238546,2015-07-01,655.7,18,0.493,6,40,Standard Shield,55,2,1,0,0,0,0,Chennai
CHE_00115,Porur,13.028527,80.166504,2021-08-01,669.9,24,0.085,3,48,Standard Shield,53,8,0,0,1,0,0,Chennai
CHE_00116,Porur,13.039587,80.153077,2020-05-01,612.6,26,0.41,4,26,Full Shield,83,8,4,0,1,1,0,Chennai
CHE_00117,Adyar,13.011975,80.260693,2024-12-01,680.3,12,0.241,7,27,Full Shield,79,12,4,0,1,1,0,Chennai
CHE_00118,Anna Nagar,13.081567,80.210038,2018-09-01,767.1,15,0.387,2,52,Standard Shield,49,5,1,0,1,0,0,Chennai
CHE_00119,Chromepet,12.959407,80.134031,2018-07-01,625.8,12,0.25,0,53,Standard Shield,49,5,5,0,1,1,0,Chennai
CHE_00120,Anna Nagar,13.085497,80.200203,2015-05-01,699.5,21,0.198,1,48,Standard Shield,53,6,0,1,1,0,1,Chennai
CHE_00121,Perambur,13.109973,80.226076,2022-02-01,615.7,13,0.103,3,42,Standard Shield,49,2,5,1,0,1,1,Chennai
CHE_00122,Sholinganallur,12.89842,80.237185,2015-03-01,726.7,23,0.296,2,51,Standard Shield,53,5,4,0,0,1,0,Chennai
CHE_00123,Sholinganallur,12.898005,80.237514,2024-03-01,366.3,22,0.4,3,18,Full Shield,83,6,2,1,1,0,1,Chennai
CHE_00124,Perambur,13.111933,80.240099,2017-05-01,644.2,25,0.422,1,36,Full Shield,83,8,4,0,1,1,0,Chennai
CHE_00125,Tambaram,12.929185,80.131901,2018-12-01,683.6,16,0.533,1,45,Standard Shield,55,4,3,0,1,1,0,Chennai
CHE_00126,Porur,13.037646,80.162828,2015-12-01,564.7,17,0.263,3,43,Standard Shield,49,7,1,0,1,0,0,Chennai
CHE_00127,Adyar,12.985294,80.259276,2021-11-01,819.4,18,0.275,3,55,Standard Shield,49,6,1,1,1,0,1,Chennai
CHE_00128,T Nagar,13.025285,80.237776,2015-01-01,704.6,21,0.453,1,46,Standard Shield,59,6,2,0,1,1,0,Chennai
CHE_00129,Porur,13.039547,80.163454,2019-07-01,758.5,20,0.272,1,48,Standard Shield,53,5,5,1,1,1,1,Chennai
CHE_00130,Sholinganallur,12.892847,80.213856,2021-05-01,584.5,18,0.308,6,29,Full Shield,79,3,4,0,0,1,0,Chennai
CHE_00131,Porur,13.03832,80.150798,2018-03-01,765.9,13,0.245,4,50,Standard Shield,49,3,4,0,0,1,0,Chennai
CHE_00132,Porur,13.043109,80.148411,2022-03-01,629.4,16,0.421,4,36,Full Shield,79,11,1,0,1,0,0,Chennai
CHE_00133,Adyar,12.98849,80.267571,2024-12-01,540.6,22,0.718,2,19,Full Shield,89,8,2,1,1,0,1,Chennai
CHE_00134,Porur,13.021185,80.175241,2020-06-01,674.9,21,0.116,4,48,Standard Shield,53,6,2,0,1,0,0,Chennai
CHE_00135,T Nagar,13.058544,80.21201,2019-06-01,712.4,16,0.338,4,40,Standard Shield,49,4,2,1,0,0,1,Chennai
CHE_00136,Guindy,13.014116,80.236148,2020-11-01,661.3,16,0.109,3,50,Standard Shield,49,9,5,0,1,1,0,Chennai
CHE_00137,Sholinganallur,12.896808,80.228767,2017-05-01,668.0,10,0.279,1,52,Standard Shield,49,10,2,0,1,1,0,Chennai
CHE_00138,Adyar,12.991861,80.266627,2023-04-01,397.0,17,0.425,4,27,Full Shield,79,4,2,0,0,0,0,Chennai
CHE_00139,Guindy,13.005496,80.225565,2018-10-01,603.3,24,0.221,7,30,Full Shield,83,12,0,1,1,0,1,Chennai
CHE_00140,Perambur,13.106994,80.247004,2020-02-01,635.7,23,0.294,1,44,Standard Shield,53,8,4,0,1,1,0,Chennai
CHE_00141,Velachery,12.984734,80.223297,2015-04-01,704.9,17,0.542,5,33,Full Shield,85,6,5,0,1,1,0,Chennai
CHE_00142,Chromepet,12.943832,80.132565,2021-05-01,819.5,16,0.251,0,63,Basic Shield,29,6,4,0,1,1,0,Chennai
CHE_00143,Chromepet,12.962535,80.145143,2018-10-01,619.4,18,0.544,7,29,Full Shield,85,2,3,0,0,1,0,Chennai
CHE_00144,Perambur,13.114894,80.237757,2019-02-01,405.7,19,0.083,4,30,Full Shield,83,5,1,0,0,0,0,Chennai
CHE_00145,Velachery,12.965466,80.21904,2016-08-01,723.9,21,0.685,2,33,Full Shield,89,9,1,1,1,0,1,Chennai
CHE_00146,Tambaram,12.920637,80.134077,2015-04-01,560.5,13,0.433,2,38,Standard Shield,49,3,2,0,0,0,0,Chennai
CHE_00147,Adyar,12.974958,80.255843,2022-12-01,675.1,14,0.447,3,49,Standard Shield,49,0,1,0,0,0,0,Chennai
CHE_00148,Chromepet,12.950392,80.140245,2024-02-01,613.5,10,0.334,2,42,Standard Shield,49,3,4,0,0,1,0,Chennai
CHE_00149,Tambaram,12.923199,80.11664,2016-10-01,407.6,23,0.439,1,31,Full Shield,83,1,3,0,0,1,0,Chennai
CHE_00150,Adyar,13.009447,80.252582,2015-09-01,822.3,14,0.711,3,43,Standard Shield,55,5,4,1,1,1,0,Chennai
CHE_00151,Tambaram,12.906037,80.129546,2019-01-01,582.1,13,0.715,0,33,Full Shield,85,10,1,1,1,0,0,Chennai
CHE_00152,Chromepet,12.963219,80.126606,2019-03-01,565.8,13,0.159,2,50,Standard Shield,49,9,1,0,1,0,0,Chennai
CHE_00153,Velachery,12.984106,80.213399,2023-08-01,693.7,25,0.139,5,39,Standard Shield,53,10,2,0,1,0,0,Chennai
CHE_00154,Chromepet,12.96412,80.126233,2017-12-01,342.3,14,0.324,1,25,Full Shield,79,11,4,1,1,1,1,Chennai
CHE_00155,Perambur,13.118373,80.226429,2015-03-01,674.1,9,0.249,2,54,Standard Shield,49,1,0,0,0,0,0,Chennai
CHE_00156,Sholinganallur,12.911139,80.239873,2019-11-01,846.6,14,0.206,6,51,Standard Shield,49,4,1,0,0,1,0,Chennai
CHE_00157,Anna Nagar,13.070288,80.198239,2019-10-01,468.3,25,0.282,5,28,Full Shield,83,8,3,0,1,1,0,Chennai
CHE_00158,Porur,13.04243,80.165732,2024-07-01,549.2,22,0.296,2,27,Full Shield,83,11,6,0,1,1,0,Chennai
CHE_00159,Porur,13.027588,80.187188,2018-11-01,701.3,21,0.1,3,47,Standard Shield,53,10,1,0,1,0,0,Chennai
CHE_00160,T Nagar,13.025286,80.248235,2015-06-01,699.4,20,0.207,7,41,Standard Shield,53,3,1,0,0,0,0,Chennai
CHE_00161,Velachery,12.964659,80.222535,2016-10-01,797.7,6,0.291,0,58,Standard Shield,49,8,5,0,1,1,0,Chennai
CHE_00162,Sholinganallur,12.901055,80.236484,2021-03-01,707.7,18,0.281,4,44,Standard Shield,49,5,2,0,1,1,0,Chennai
CHE_00163,Perambur,13.110657,80.218903,2017-03-01,589.3,21,0.268,3,34,Full Shield,83,6,3,0,1,0,0,Chennai
CHE_00164,Perambur,13.122661,80.216866,2015-03-01,675.0,24,0.259,1,47,Standard Shield,53,2,3,1,0,1,1,Chennai
CHE_00165,Perambur,13.100818,80.232887,2022-11-01,598.8,24,0.592,4,24,Full Shield,89,6,2,1,1,1,0,Chennai
CHE_00166,Tambaram,12.903629,80.131486,2020-06-01,463.7,17,0.163,5,26,Full Shield,79,9,1,0,1,0,0,Chennai
CHE_00167,Guindy,13.024324,80.231444,2016-11-01,353.2,22,0.217,3,32,Full Shield,83,12,2,0,1,1,0,Chennai
CHE_00168,Anna Nagar,13.094038,80.204412,2022-11-01,475.2,20,0.224,4,38,Standard Shield,53,8,0,0,1,0,0,Chennai
CHE_00169,Guindy,13.000107,80.222434,2022-09-01,721.1,18,0.36,4,41,Standard Shield,49,10,1,0,1,0,0,Chennai
CHE_00170,Adyar,13.00117,80.258091,2017-09-01,727.6,11,0.02,3,60,Standard Shield,49,5,1,1,1,0,1,Chennai
CHE_00171,Anna Nagar,13.095195,80.208786,2017-10-01,599.5,16,0.31,2,37,Full Shield,79,11,2,1,1,0,1,Chennai
CHE_00172,Adyar,13.005392,80.255775,2017-04-01,550.5,27,0.348,1,42,Standard Shield,53,6,0,0,1,0,0,Chennai
CHE_00173,T Nagar,13.043282,80.225153,2017-04-01,711.0,22,0.298,3,43,Standard Shield,53,7,0,0,1,0,0,Chennai
CHE_00174,T Nagar,13.052752,80.236497,2022-10-01,598.9,25,0.471,2,36,Full Shield,89,11,4,0,1,1,0,Chennai
CHE_00175,Sholinganallur,12.893693,80.22985,2022-05-01,621.3,19,0.108,3,44,Standard Shield,53,6,0,0,1,0,0,Chennai
CHE_00176,Perambur,13.119212,80.2282,2018-10-01,522.9,9,0.487,3,32,Full Shield,85,6,3,0,0,1,0,Chennai
CHE_00177,T Nagar,13.041622,80.240358,2019-01-01,524.1,19,0.186,4,41,Standard Shield,53,2,0,0,0,0,0,Chennai
CHE_00178,Anna Nagar,13.082272,80.220378,2015-12-01,450.7,17,0.541,3,25,Full Shield,85,11,4,0,1,1,0,Chennai
CHE_00179,Velachery,12.972002,80.227974,2019-01-01,682.7,26,0.108,3,44,Standard Shield,53,5,5,1,0,1,1,Chennai
CHE_00180,Porur,13.036029,80.148276,2016-10-01,468.0,12,0.708,1,22,Full Shield,85,7,6,1,1,1,0,Chennai
CHE_00181,Velachery,12.976244,80.222196,2015-08-01,594.2,22,0.5,1,46,Standard Shield,59,3,1,0,0,0,0,Chennai
CHE_00182,Anna Nagar,13.074516,80.200986,2017-02-01,478.1,16,0.419,1,43,Standard Shield,49,10,0,0,1,0,0,Chennai
CHE_00183,Perambur,13.126918,80.233566,2022-02-01,809.1,17,0.139,3,51,Standard Shield,49,6,2,0,1,0,0,Chennai
CHE_00184,Sholinganallur,12.891236,80.218825,2021-05-01,670.9,13,0.33,4,33,Full Shield,79,10,2,0,1,0,0,Chennai
CHE_00185,Perambur,13.116718,80.245372,2017-11-01,792.4,18,0.382,3,51,Standard Shield,49,1,1,1,0,0,1,Chennai
CHE_00186,Perambur,13.115947,80.240433,2020-07-01,544.1,19,0.06,1,47,Standard Shield,53,4,3,0,1,1,0,Chennai
CHE_00187,Anna Nagar,13.088581,80.22163,2024-08-01,551.6,23,0.333,1,37,Full Shield,83,5,1,0,1,0,0,Chennai
CHE_00188,Guindy,12.989409,80.231017,2021-01-01,625.7,27,0.386,1,39,Standard Shield,53,10,3,1,1,1,1,Chennai
CHE_00189,Chromepet,12.960509,80.143494,2024-12-01,798.7,19,0.325,1,46,Standard Shield,53,12,1,0,1,0,0,Chennai
CHE_00190,Guindy,13.00383,80.216244,2022-12-01,712.8,16,0.245,4,53,Standard Shield,49,3,1,0,1,0,0,Chennai
CHE_00191,Sholinganallur,12.9132,80.245317,2024-10-01,606.0,14,0.141,1,45,Standard Shield,49,8,0,0,1,0,0,Chennai
CHE_00192,Sholinganallur,12.896218,80.226249,2022-08-01,621.3,20,0.236,2,45,Standard Shield,53,6,1,0,1,0,0,Chennai
CHE_00193,Sholinganallur,12.900512,80.214354,2015-02-01,893.9,11,0.273,4,52,Standard Shield,49,2,4,0,0,1,0,Chennai
CHE_00194,Guindy,13.029738,80.230575,2017-07-01,576.6,17,0.218,5,31,Full Shield,79,9,3,0,1,1,0,Chennai
CHE_00195,Velachery,12.973127,80.222638,2023-07-01,721.5,16,0.082,3,55,Standard Shield,49,9,0,0,1,0,0,Chennai
CHE_00196,Adyar,13.013588,80.271559,2016-05-01,574.4,18,0.221,7,35,Full Shield,79,0,3,0,0,1,0,Chennai
CHE_00197,Guindy,13.01099,80.22293,2022-08-01,672.7,18,0.221,5,44,Standard Shield,49,5,2,0,1,0,0,Chennai
